Date,Close,Log_returns,Volume,ma_50,ma_200,Bear_Regime
2015-04-05 00:00:00+00:00,260.5979919433594,0.02683829306360957,19649200,259.63990112304685,309.8594901275635,False
2015-04-06 00:00:00+00:00,255.49200439453125,-0.019787843949012902,20034200,260.05324127197264,309.0147501373291,False
2015-04-07 00:00:00+00:00,253.17999267578125,-0.009090445919442811,18467400,260.4399810791016,308.3066701507568,False
2015-04-08 00:00:00+00:00,245.02200317382812,-0.03275265389486289,30086400,260.4682211303711,307.4872602081299,False
2015-04-09 00:00:00+00:00,243.67599487304688,-0.00550856238328955,21643500,260.61522094726564,306.7115351104736,False
2015-04-10 00:00:00+00:00,236.07200622558594,-0.031702583387589446,28882000,260.5310009765625,305.88113510131836,False
2015-04-11 00:00:00+00:00,236.552001953125,0.0020311955561355304,16365200,260.38646087646487,304.8849401855469,False
2015-04-12 00:00:00+00:00,236.1529998779297,-0.0016881656356903948,12387900,260.2188409423828,303.9496802520752,False
2015-04-13 00:00:00+00:00,224.58700561523438,-0.05021671457956225,31181800,259.99104095458983,303.0147452545166,False
2015-04-14 00:00:00+00:00,219.15899658203125,-0.024465706767396074,31719000,259.5963809204102,302.08841529846194,False
2015-04-15 00:00:00+00:00,223.83299255371094,0.02110272663610571,22562000,259.2983407592773,301.2099803161621,False
2015-04-16 00:00:00+00:00,228.572998046875,0.02095542078043026,24805400,259.12040069580075,300.46694030761716,False
2015-04-17 00:00:00+00:00,222.8820037841797,-0.025213125195807665,20429800,258.8495208740234,299.70401527404783,False
2015-04-18 00:00:00+00:00,223.3560028076172,0.0021244232660850323,12939000,258.24008087158205,298.8860752868652,False
2015-04-19 00:00:00+00:00,222.60000610351562,-0.003390457413689029,15021500,257.60682098388673,298.08100036621096,False
2015-04-20 00:00:00+00:00,224.62600708007812,0.009060362216785637,18364700,256.8953012084961,297.32877044677736,False
2015-04-21 00:00:00+00:00,235.2689971923828,0.0462926999365405,24978000,256.08728088378905,296.70755546569825,False
2015-04-22 00:00:00+00:00,234.17599487304688,-0.004656580910825517,23847900,255.1367608642578,296.2341054534912,False
2015-04-23 00:00:00+00:00,236.46200561523438,0.009714594733087079,17036000,254.40416076660156,295.81386543273925,False
2015-04-24 00:00:00+00:00,231.26800537109375,-0.022210307810530832,21448700,253.50596069335938,295.3198104095459,False
2015-04-25 00:00:00+00:00,226.38999938964844,-0.02131806137951217,13957200,252.57930084228516,294.77082534790037,False
2015-04-26 00:00:00+00:00,219.42999267578125,-0.031225931376802334,28943700,251.44268096923827,294.10327529907227,False
2015-04-27 00:00:00+00:00,229.28599548339844,0.043936871246002325,38574000,250.54132080078125,293.42457527160644,False
2015-04-28 00:00:00+00:00,225.85499572753906,-0.01507693138911128,21469200,249.2662808227539,292.74604019165037,False
2015-04-29 00:00:00+00:00,225.80799865722656,-0.00020810680116101977,18936500,247.94724060058593,292.06358512878415,False
2015-04-30 00:00:00+00:00,236.14500427246094,0.04476096650210979,33818600,246.74256072998048,291.35156509399417,False
2015-05-01 00:00:00+00:00,232.07899475097656,-0.01736823289978208,18815300,245.497060546875,290.5598900604248,False
2015-05-02 00:00:00+00:00,234.92999267578125,0.012209757927328984,12535500,244.48892028808595,289.73019004821776,False
2015-05-03 00:00:00+00:00,240.35800170898438,0.022841919434434907,18494100,243.65838012695312,288.95811500549314,False
2015-05-04 00:00:00+00:00,239.01800537109375,-0.005590600314613073,21223400,242.71088012695313,288.24042503356935,False
2015-05-05 00:00:00+00:00,236.12100219726562,-0.012194490570728496,23929100,241.6214404296875,287.5022400665283,False
2015-05-06 00:00:00+00:00,229.78199768066406,-0.02721337153245333,29587200,240.50698028564454,286.6939401245117,False
2015-05-07 00:00:00+00:00,237.33399963378906,0.032337406914244825,29064400,240.12768005371095,285.9328801727295,False
2015-05-08 00:00:00+00:00,243.86300659179688,0.0271381890420925,27445500,239.7863800048828,285.23797019958494,False
2015-05-09 00:00:00+00:00,241.83200073242188,-0.00836334599719275,19790500,239.3880401611328,284.5147551727295,False
2015-05-10 00:00:00+00:00,240.29600524902344,-0.0063717546420386335,15019100,238.9934603881836,283.80044525146485,False
2015-05-11 00:00:00+00:00,242.1580047607422,0.007718906748170874,20892300,238.47742065429688,283.21915031433105,False
2015-05-12 00:00:00+00:00,241.11199951171875,-0.004328871534384656,19282600,237.96486083984374,282.6329853057861,False
2015-05-13 00:00:00+00:00,236.3769989013672,-0.019833570375609212,27180100,237.78050079345704,282.0785153198242,False
2015-05-14 00:00:00+00:00,236.9290008544922,0.002332538373417759,24413700,237.59514068603517,281.4896402740479,False
2015-05-15 00:00:00+00:00,237.60499572753906,0.002849091256635625,16329400,237.37660064697266,280.9127201843262,False
2015-05-16 00:00:00+00:00,236.1529998779297,-0.006129713522271202,11089700,237.1590805053711,280.3053951263428,False
2015-05-17 00:00:00+00:00,236.802001953125,0.002744457633568561,11134300,236.8391604614258,279.81145011901856,False
2015-05-18 00:00:00+00:00,233.1280059814453,-0.015636672562722796,16780300,236.64746063232423,279.25056518554686,False
2015-05-19 00:00:00+00:00,231.94700622558594,-0.005078760472612182,14241900,236.33588073730468,278.71869514465334,False
2015-05-20 00:00:00+00:00,234.01800537109375,0.008889134295103438,15499400,236.1317608642578,278.2600402069092,False
2015-05-21 00:00:00+00:00,235.343994140625,0.005650190252098664,15108900,235.89320068359376,277.80730018615725,False
2015-05-22 00:00:00+00:00,240.34800720214844,0.021039654392675935,27003000,235.64006072998046,277.37127029418946,False
2015-05-23 00:00:00+00:00,238.8719940185547,-0.006160084501103912,14605000,235.33106048583986,276.91317024230955,False
2015-05-24 00:00:00+00:00,240.9530029296875,0.008674087312006046,11508000,235.07618041992188,276.4205052947998,False
2015-05-25 00:00:00+00:00,237.11000061035156,-0.016077734830484965,14423900,234.60642059326173,275.85960525512695,False
2015-05-26 00:00:00+00:00,237.11599731445312,2.529049072865961e-05,16425000,234.23890045166016,275.3331101989746,False
2015-05-27 00:00:00+00:00,237.2830047607422,0.0007040801201424068,18837000,233.92096069335938,274.7920851898193,False
