Date,Symbol,Type,Open,High,Low,Close,Volume,Open_normalized,High_normalized,Low_normalized,Close_normalized,Volume_normalized
2025-03-06 00:00:00+00:00,LINK-USD,Candidate,16.462299346923828,17.621931076049805,16.413612365722656,17.070051193237305,1078605152,100.0,100.0,100.0,100.0,100.0
2025-03-07 00:00:00+00:00,LINK-USD,Candidate,17.07008171081543,17.469846725463867,15.782978057861328,15.938858985900879,1180712381,103.69196520536588,99.13695979214992,96.15785791811246,93.37323482788045,109.46659941412926
2025-03-08 00:00:00+00:00,LINK-USD,Candidate,15.93886661529541,15.997062683105469,15.156147003173828,15.251073837280273,425972812,96.82041541951291,90.77928300858743,92.33888717163289,89.34404276023695,39.49293318413521
2025-03-09 00:00:00+00:00,LINK-USD,Candidate,15.25107192993164,15.335953712463379,13.65831184387207,13.77341079711914,472696909,92.64241652112516,87.02765687982217,83.21332038031667,80.68757756611647,43.82483322312186
2025-03-10 00:00:00+00:00,LINK-USD,Candidate,13.77341079711914,14.512513160705566,12.474601745605469,12.69313907623291,728406483,83.6663852774179,82.35484010279505,76.00156179913682,74.35911546218203,67.53226439252164
2025-03-11 00:00:00+00:00,LINK-USD,Candidate,12.692466735839844,13.622076034545898,11.94257926940918,13.099883079528809,816961576,77.10020616416247,77.30183471810214,72.76021270216816,76.74190856977998,75.74241366130614
2025-03-12 00:00:00+00:00,LINK-USD,Candidate,13.099726676940918,13.773078918457031,12.667600631713867,13.482376098632812,583352599,79.57410080377839,78.15873787621494,77.1774082965931,78.9826342405708,54.083980399900774
2025-03-13 00:00:00+00:00,LINK-USD,Candidate,13.482376098632812,13.541891098022461,12.741003036499023,13.027454376220703,364752318,81.89849919812174,76.84680549243221,77.62461274586134,76.31760578071277,33.81703835955718
2025-03-14 00:00:00+00:00,LINK-USD,Candidate,13.027454376220703,14.650102615356445,13.01618480682373,13.679569244384766,987360764,79.13508375520479,83.1356254438402,79.30115879918098,80.13783373891839,91.54051991770943
2025-03-15 00:00:00+00:00,LINK-USD,Candidate,13.678984642028809,14.227458953857422,13.668221473693848,14.037820816040039,322037634,83.09279495992695,80.73722960586394,83.27369484025259,82.23654784117723,29.856860353657943
2025-03-16 00:00:00+00:00,LINK-USD,Candidate,14.03771686553955,14.165285110473633,13.240715026855469,13.371051788330078,285275119,85.27190867879985,80.38440877643572,80.66911007662577,78.33047269141952,26.44852182200591
2025-03-17 00:00:00+00:00,LINK-USD,Candidate,13.370881080627441,14.21088695526123,13.365700721740723,14.035404205322266,341264522,81.22122431898279,80.64318770702396,81.43058593032796,82.22239082026137,31.639429995973167
2025-03-18 00:00:00+00:00,LINK-USD,Candidate,14.035332679748535,14.223532676696777,13.499043464660645,13.92329216003418,324927311,85.25742597659178,80.7149489764386,82.24297713312247,81.56561455158501,30.12476904987007
2025-03-19 00:00:00+00:00,LINK-USD,Candidate,13.92329216003418,15.018282890319824,13.794672966003418,15.012786865234375,522294649,84.57683745518763,85.22495534403359,84.04410107071557,87.94810686438971,48.423155408773724
2025-03-20 00:00:00+00:00,LINK-USD,Candidate,15.014127731323242,15.105804443359375,14.104474067687988,14.215102195739746,323567352,91.20310240336387,85.72161801205698,85.93156554094726,83.27509996789809,29.998684078230696
2025-03-21 00:00:00+00:00,LINK-USD,Candidate,14.21510124206543,14.37282657623291,13.847296714782715,13.95905876159668,221482760,86.34942751616096,81.5621540806456,84.3647114738782,81.77514293060166,20.534183393182975
2025-03-22 00:00:00+00:00,LINK-USD,Candidate,13.9591646194458,14.485215187072754,13.949766159057617,14.22672176361084,193855290,84.79474419261021,82.19993100960313,84.9890069792899,83.34316987430643,17.972776195305993
2025-03-23 00:00:00+00:00,LINK-USD,Candidate,14.226696968078613,14.470629692077637,14.226696968078613,14.435689926147461,219487165,86.41986558662012,82.11716201605655,86.67620905797018,84.56734993194685,20.349167125061165
2025-03-24 00:00:00+00:00,LINK-USD,Candidate,14.435345649719238,15.32787799835205,14.180116653442383,15.089212417602539,412387400,87.68729899457605,86.98182924562887,86.39241830186882,88.39582404756044,38.2333979431984
2025-03-25 00:00:00+00:00,LINK-USD,Candidate,15.08984661102295,15.582963943481445,14.894515991210938,15.455079078674316,325368585,91.66305564624946,88.42937744014023,90.74489916866733,90.53914896750399,30.165680591890958
2025-03-26 00:00:00+00:00,LINK-USD,Candidate,15.456178665161133,15.990032196044922,14.98615837097168,15.259174346923828,371764957,93.8883344266808,90.73938677343475,91.30323073955373,89.39149727312537,34.467196481553614
2025-03-27 00:00:00+00:00,LINK-USD,Candidate,15.258923530578613,15.771846771240234,15.19495677947998,15.507801055908203,337839460,92.69011095603678,89.50123969487065,92.57533589139918,90.8480055528596,31.32188450737161
2025-03-28 00:00:00+00:00,LINK-USD,Candidate,15.507880210876465,15.561384201049805,14.030012130737305,14.244855880737305,395430631,94.2023947206032,88.30691786213761,85.47790588765737,83.44940339945046,36.66129632950242
2025-03-29 00:00:00+00:00,LINK-USD,Candidate,14.244378089904785,14.391704559326172,13.403438568115234,13.545989036560059,264280829,86.52726930619514,81.6692818580259,81.66050391263221,79.35529239611544,24.50209221696727
2025-03-30 00:00:00+00:00,LINK-USD,Candidate,13.545899391174316,13.84270191192627,13.225685119628906,13.387308120727539,237053891,82.28437052267262,78.55383074752838,80.57754030580585,78.42570575319206,21.97781927524114
2025-03-31 00:00:00+00:00,LINK-USD,Candidate,13.387336730957031,13.69515609741211,12.989530563354492,13.512476921081543,315365161,81.32118392962288,77.71654558350517,79.13876771259177,79.15897127733761,29.23823981512004
2025-04-01 00:00:00+00:00,LINK-USD,Candidate,13.512476921081543,14.367353439331055,13.5032377243042,14.042898178100586,326570058,82.08134621003904,81.53109541358899,82.26853067703527,82.26629211085205,30.27707195672657
2025-04-02 00:00:00+00:00,LINK-USD,Candidate,14.042898178100586,14.283526420593262,12.833842277526855,12.934548377990723,644842107,85.30338248723842,81.05539829290439,78.19023619887838,75.77334263130413,59.784816140021555
2025-04-03 00:00:00+00:00,LINK-USD,Candidate,12.934733390808105,13.295575141906738,12.329806327819824,12.879012107849121,486341955,78.57185146633304,75.44902476651339,75.1193951282093,75.4479993179601,45.089897271323245
