lookback_window,forecast_date,start_price,actual_final_price,median_mc_final_price,mean_mc_final_price,p16_final,p84_final,p025_final,p975_final,in_68_band,in_95_band,abs_pct_error_final,prob_mc_final_below_actual,prob_mc_final_above_actual,mu_daily_used,sigma_daily_used,ann_mu_used,ann_vol_used,n_sims,horizon_days,step_days
30,2021-01-01,11.872554779052734,30.233219146728516,7.707854986190796,8.836757236778736,4.86437463760376,12.715060234069824,2.650831460952759,21.568498611450195,False,False,74.50534477065487,0.994,0.006,-0.002871355573692099,0.05603861613559746,-1.0480447843976162,1.0706162580090908,1000,90,1
30,2021-01-02,12.220136642456055,32.53324890136719,8.175214767456055,9.38041950750351,4.751924514770508,13.674469947814941,3.079880475997925,22.3179931640625,False,False,74.87120086825236,0.995,0.005,-0.0027320843067858793,0.05631284698571394,-0.9972107719768459,1.0758554310441981,1000,90,1
30,2021-01-03,13.650172233581543,29.534889221191406,9.693451881408691,11.309957343935967,5.578474521636963,16.314420700073242,3.200854778289795,31.34103775024414,False,True,67.17965722230102,0.969,0.031,-0.002236081930685412,0.05665701606477043,-0.8161699047001754,1.0824307720670794,1000,90,1
30,2021-01-04,13.571063041687012,30.9572811126709,12.694374561309814,14.791853464841843,7.116939544677734,21.73872947692871,4.443740367889404,36.83462905883789,False,True,58.99389705734212,0.947,0.053,0.0011484624858089892,0.057906171935433653,0.4191888073202811,1.106295861466923,1000,90,1
30,2021-01-05,14.539868354797363,32.39665603637695,12.714761734008789,14.560192645668984,7.357690334320068,21.27709197998047,4.6672892570495605,35.3666877746582,False,True,60.75285757970861,0.963,0.037,0.0004961279872608353,0.05762315192034347,0.1810867153502049,1.1008887716707665,1000,90,1
30,2021-01-06,17.155256271362305,34.79787826538086,16.584257125854492,19.25270065164566,9.279191970825195,28.667221069335938,5.651004314422607,47.181766510009766,False,True,52.34118299001705,0.916,0.084,0.0012461342266169501,0.05881488475095012,0.4548389927151868,1.1236567954307284,1000,90,1
30,2021-01-07,16.031967163085938,31.17518424987793,20.651443481445312,24.08352796149254,10.787961959838867,36.375282287597656,5.938642501831055,65.0372085571289,True,True,33.756787719622935,0.754,0.246,0.004519128848147245,0.06550956572083892,1.6494820295737445,1.251558495772576,1000,90,1
30,2021-01-08,15.288084983825684,32.74489974975586,19.642541885375977,23.394179107427597,10.32710075378418,35.75246810913086,5.485357284545898,65.121337890625,True,True,40.01343099081429,0.806,0.194,0.004626805704972754,0.06523661238262365,1.6887840823150553,1.2463437295680715,1000,90,1
30,2021-01-09,17.607513427734375,31.63246726989746,18.76613426208496,23.216190271139144,10.50682544708252,35.284889221191406,5.6401777267456055,64.59370422363281,True,True,40.67445292216122,0.792,0.208,0.0031788403851999336,0.0657797930807812,1.1602767405979757,1.2567211822353008,1000,90,1
30,2021-01-10,16.2474308013916,31.899261474609375,22.284635543823242,28.9330436565876,11.818836212158203,43.74264144897461,6.684337139129639,89.09501647949219,True,True,30.14059099280094,0.7,0.3,0.006498726080918384,0.0690382137791278,2.3720350195352102,1.3189732222685877,1000,90,1
30,2021-01-11,14.556933403015137,33.91918182373047,18.813703536987305,24.306179480314256,10.001052856445312,38.29186248779297,5.0787858963012695,75.93244934082031,True,True,44.53373423109841,0.798,0.202,0.005529359087226385,0.07085431999003067,2.0182160668376308,1.3536698827100075,1000,90,1
30,2021-01-12,13.915848731994629,33.10542678833008,14.276557922363281,18.559138385891913,7.071976661682129,28.69537353515625,3.3224916458129883,56.940433502197266,False,True,56.87547539065142,0.876,0.124,0.0029313526584244104,0.0738547200465692,1.0699437203249098,1.4109924453030729,1000,90,1
30,2021-01-13,15.93009090423584,35.456634521484375,13.965027809143066,17.493051860570908,6.880588531494141,27.49977684020996,3.580042600631714,52.38054656982422,False,True,60.61378075609183,0.922,0.078,0.0012198635742594948,0.07375135166391979,0.4452502046047156,1.40901759512546,1000,90,1
30,2021-01-14,17.826250076293945,41.423709869384766,18.918323516845703,24.988725343942644,9.155597686767578,38.47452926635742,3.8199691772460938,87.45603942871094,False,True,54.32972185133094,0.857,0.143,0.0036102401793645543,0.07758403858344727,1.3177376654680624,1.4822409759094537,1000,90,1
